num,Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
106,282TA,1701W,0.35403,266,7,-0.14,220,282TA-1701W.DAT.raw,
107,1701W,4192MPI,-3.19627,291,11,0.58,220,1701W-4192MPI.DAT.raw,
108,4192MPI,4325MPI,-2.90293,1286,43,-0.11,120,4192MPI-4325MPI.DAT.raw,
109,4325MPI,1508JAD,25.61055,1353,54,0.02,220,4325MPI-1508JAD.DAT.raw,
110,1508JAD,1510JAD,-21.73868,1149,35,0.06,320,1508JAD-1510JAD.DAT.raw,
111,1510JAD,1509JAD,10.65996,1425,42,-0.3,320,1510JAD-1509JAD.DAT.raw,
112,1509JAD,6170,-10.35542,902,28,0.65,220,1509JAD-6170.DAT.raw,
113,6170,858TA,-9.97115,1185,26,-0.48,220,6170-858TA.DAT.raw,
114,858TA,291TA,5.89894,1080,29,0.18,220,858TA-291TA.DAT.raw,
115,291TA,4191MPI,-11.80447,1081,38,-0.53,120,291TA-4191MPI.DAT.raw,
116,1173b,922U,0.4918,1651,42,-1.74,1119,1173B-922U.DAT.raw,
117,922U,5513MPI,-4.0696,1295,36,0.52,1219,922U-5513MPI.DAT.raw,
118,5513MPI,5431MPI,-6.06628,1907,44,0.68,1219,5513MPI-5431MPI.DAT.raw,
119,5431MPI,5512MPI,1.23705,963,27,0.02,1219,5431MPI-5512MPI.DAT.raw,
120,5512MPI,5428MPI,-11.61382,837,22,0.31,1219,5512MPI-5428MPI.DAT.raw,
121,5428MPI,4758,-3.18805,1190,27,-0.58,1119,5428MPI-4758.DAT.raw,
122,1012b,5432MPI,-4.82697,1043,23,-0.8,1119,1012B-5432MPI.DAT.raw,
123,5432MPI,5504MPI,-1.70424,832,16,-0.4,1219,5432MPI-5504MPI.DAT.raw,
124,5504MPI,1132b,-1.86869,1674,30,-0.26,1219,5504MPI-1132B.DAT.raw,
125,1132b,1127b,-0.05161,1858,47,-1.91,1219,1132B-1127B.DAT.raw,
126,1127b,1125b,5.91293,707,15,-0.37,1219,1127B1125B.DAT.raw,
127,1125b,1124b,-1.83225,903,23,0.6,1219,1125B-1124B.DAT.raw,
128,1124b,5515MPI,2.30957,648,17,0.98,1219,1124B-5515MPI.DAT.raw,
129,1129b,1132b,0.6801,488,9,-0.75,1219,1129B-1132B.DAT.raw,
130,911U,1560JAD,17.49917,1400,33,0.49,220,911U-1560MPI.DAT.raw,
131,1560JAD,1559JAD,-13.83752,1396,31,0.6,220,1560MPI-1559MPI.DAT.raw,
132,1559JAD,910U,-1.8325,1253,36,1.02,120,1559MPI-910U.DAT.raw,
133,260TA,392U,1.6295,520,13,-0.15,1219,260TA-392U.DAT.raw,
