num,A,B,dH,dist,n,diff,date,calc_file,text_file,group,Original,month,year,codeA,typeA,nameA,groupA,rankA,codeB,typeB,nameB,groupB,rankB,Y1,X1,H1,Y2,X2,H2,dH_from_DB,dH_from_file,dH_diff,dist_from_DB,dist_from_file,dist_diff
568,39KFS,4362MPI,-4.66488,1595,26,2.45,318,959.raw,Kfar Saba,Municipal,39KFS 4362MPI -4.66488 1595. 26 2.45 0318 959.raw,3,2018,545962,main,39KFS,3,3,547311,main,4362MPI,2,3,193026,675144,39.607,194098,675892,34.941,-4.666,-4.66488,0.00112,1307,1595,288
569,4362MPI,43KFS,5.6107,783,14,2.31,718,959.raw,Kfar Saba,Municipal,4362MPI 43KFS 5.61070 783. 14 2.31 0718 959.raw,7,2018,547311,main,4362MPI,2,3,545963,main,43KFS,3,3,194098,675892,34.941,194565,676343,40.553,5.612,5.6107,0.0013,649,783,134
570,43KFS,45KFS,8.7161,686,13,-2.5,220,959.raw,Kfar Saba,Municipal,43KFS 45KFS 8.71610 686. 13 -2.50 0220 959.raw,2,2020,545963,main,43KFS,3,3,545965,main,45KFS,3,3,194565,676343,40.553,194226,676774,49.27,8.717,8.7161,0.0009,548,686,138
571,45KFS,47KFS,-8.46101,721,14,1.9,220,959.raw,Kfar Saba,Municipal,45KFS 47KFS -8.46101 721. 14 1.90 0220 959.raw,2,2020,545965,main,45KFS,3,3,545966,main,47KFS,3,3,194226,676774,49.27,193723.2,676607.5,40.81,-8.46,-8.46101,0.00101,530,721,191
580,47KFS,4361MPI,0.13114,755,15,2.39,220,959.raw,Kfar Saba,Municipal,47KFS 4361MPI 0.13114 755. 15 2.39 0220 959.raw,2,2020,545966,main,47KFS,3,3,547310,main,4361MPI,2,3,193723.2,676607.5,40.81,193411,676151,40.943,0.133,0.13114,0.00186,553,755,202
581,4361MPI,39KFS,-1.33721,1224,22,1.18,218,959.raw,Kfar Saba,Municipal,4361MPI 39KFS -1.33721 1224. 22 1.18 0218 959.raw,2,2018,547310,main,4361MPI,2,3,545962,main,39KFS,3,3,193411,676151,40.943,193026,675144,39.607,-1.336,-1.33721,0.00121,1078,1224,146
586,4362MPI,4361MPI,6.00403,763,14,2,218,959.raw,Kfar Saba,Municipal,4362MPI 4361MPI 6.00403 763. 14 2.00 0218 959.raw,2,2018,547311,main,4362MPI,2,3,547310,main,4361MPI,2,3,194098,675892,34.941,193411,676151,40.943,6.002,6.00403,0.00203,734,763,29
