Point,ComputedHeight,StdDev,Sigma0
1568,215.45177,0.19443054121216,0.687415770804445
16231,37.54913,2.52385521722127,0.687415770804445
16457,44.11718,1.59148256944762,0.687415770804445
16902,165.679495715468,2.13097655998942,0.687415770804445
181641,343.12218662531,1.37993929248271,0.687415770804445
18269,138.6639,1.25253114423404,0.687415770804445
19042,19.3499630708661,0.602939592568116,0.687415770804445
203552,-394.64846215317,1.39964646752047,0.687415770804445
20499,23.2759018010963,1.22072874590599,0.687415770804445
20512,28.5949981107594,0.557416146621512,0.687415770804445
20513,26.725994638392,0.361376477025177,0.687415770804445
20521,22.8593511351351,0.627566917701808,0.687415770804445
20522,37.7605959426719,0.565929355358103,0.687415770804445
20525,11.4171737349398,0.427289085923957,0.687415770804445
20527,45.6037208768267,0.466706018654097,0.687415770804445
20671,225.153904696271,1.00689311071801,0.687415770804445
20781,766.3861,1.6232330406682,0.687415770804445
2102,217.14367,2.6800400589637,0.687415770804445
21524,778.745012555768,0.836637436464148,0.687415770804445
21553,619.811688226187,0.452156585997147,0.687415770804445
21975,206.329242447995,1.10182863609698,0.687415770804445
22068,-322.989579389752,1.59500097660711,0.687415770804445
22467,176.4423,0.922265035394492,0.687415770804445
2247,181.71086,2.98056375685416,0.687415770804445
22538,175.99844,2.78382169831169,0.687415770804445
22542,174.1841,2.53506410383033,0.687415770804445
24558,232.97085,0.363746235370467,0.687415770804445
25170,30.92007,2.13873595333376,0.687415770804445
25209,40.89002,2.09408101593568,0.687415770804445
25605,430.327875876453,7.51032052238862,0.687415770804445
25925,95.6554240174673,0.61426583101286,0.687415770804445
25933,598.92701561939,1.02225317510603,0.687415770804445
26106,444.186211129645,1.35767501290893,0.687415770804445
26126,354.817370206062,0.369500973168876,0.687415770804445
26127,383.6291342686,2.43631540021136,0.687415770804445
26129,755.638086336336,0.777211105872642,0.687415770804445
26130,337.483640974672,0.265701637598753,0.687415770804445
26139,206.852229023145,1.39688286786193,0.687415770804445
26174,150.672001769912,0.943787865597969,0.687415770804445
26191,-385.6516,2.68180266359946,0.687415770804445
26225,292.052286416945,0.5324408570087,0.687415770804445
26232,-378.664089602795,0.198461149950767,0.687415770804445
26238,164.588915371879,0.510567010400755,0.687415770804445
26247,343.66494375,2.28843384171758,0.687415770804445
26260,-139.005094327217,2.15125885330288,0.687415770804445
26340,-377.231805176841,0.463001289070956,0.687415770804445
26912,29.47583,1.48073888672213,0.687415770804445
271055,34.7034493787391,0.261558590020781,0.687415770804445
27729,124.919444855212,0.936663186005836,0.687415770804445
27730,154.6940075,0.856929312598968,0.687415770804445
27734,138.751192419929,0.665145797283449,0.687415770804445
27735,124.173542238548,0.73777217136025,0.687415770804445
27736,83.3836879661017,0.767852328987472,0.687415770804445
27737,68.3314766711052,0.341896241772635,0.687415770804445
27741,8.66528118695564,0.263461297109202,0.687415770804445
29758,234.0261036478,0.829550477276927,0.687415770804445
29759,229.516313382874,0.616912695129852,0.687415770804445
29761,81.0391078123043,1.95527215310333,0.687415770804445
29762,84.7955348817897,2.2453786264066,0.687415770804445
29763,103.289898466526,2.77233638468615,0.687415770804445
29764,129.153609019867,2.96090696650264,0.687415770804445
29765,159.339670274599,2.97380576653237,0.687415770804445
29766,166.102846711474,2.79468534110811,0.687415770804445
29767,176.494159512267,2.22606036629037,0.687415770804445
29768,204.10889314112,1.30280088116036,0.687415770804445
29798,109.870365259196,0.262089058403488,0.687415770804445
29822,853.695157410367,2.29646793831293,0.687415770804445
29823,731.773374181478,3.07992690917706,0.687415770804445
29824,867.701481182722,3.70720187977628,0.687415770804445
