Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File
40S,34,-2.53304,83,2,##,100,pratim.raw
34,35,-0.13234,17,2,##,100,pratim.raw
35,36,0.18346,21,2,##,100,pratim.raw
36,37,-0.10492,13,2,##,100,pratim.raw
37,31,2.15683,117,4,##,100,pratim.raw
31,33,0.08202,30,2,##,100,pratim.raw
33,32,0.06158,24,2,##,100,pratim.raw
32,30,2.7108,82,4,##,100,pratim.raw
30,38S,0.26684,161,4,##,100,pratim.raw
38S,57,-1.94717,85,2,##,100,pratim.raw
57,58,-0.76424,59,2,##,100,pratim.raw
58,52,-3.66626,158,4,##,100,pratim.raw
52,49,0.92612,59,2,##,100,pratim.raw
49,51,-0.12639,14,2,##,100,pratim.raw
51,50,0.06482,16,2,##,100,pratim.raw
50,6S,0.40352,25,2,##,100,pratim.raw
16S,75,1.62432,185,4,##,100,pratim.raw
75,74,-1.8091,68,4,##,100,pratim.raw
74,72,3.8338,174,6,##,100,pratim.raw
72,3S,-0.09568,90,2,##,100,pratim.raw
3S,27,-0.99842,60,2,0.56,100,pratim.raw
27,26,-0.07894,23,2,-0.06,100,pratim.raw
26,25,-0.18816,19,2,0.2,100,pratim.raw
25,24,0.52881,87,2,0.32,719,pratim.raw
24,23,0.59832,60,2,0.25,100,pratim.raw
23,22,-3.42136,79,4,-0.19,100,pratim.raw
22,21,0.07457,14,3,0.86,100,pratim.raw
21,17S,1.7892,154,4,-1.06,100,pratim.raw
128,127,-0.10156,13,5,-0.04,100,pratim.raw
127,30S,-1.33762,121,4,-1.02,100,pratim.raw
30S,131,0.55545,94,4,##,100,pratim.raw
131,130,-1.16683,50,2,##,100,pratim.raw
130,15S,0.16741,50,2,##,100,pratim.raw
15S,110,-2.90867,190,4,##,100,pratim.raw
110,106,0.03854,123,2,##,100,pratim.raw
106,104,0.17855,45,2,##,100,pratim.raw
104,10S,1.12196,158,4,##,719,pratim.raw
17,28S,0.11618,83,3,-1.22,100,pratim.raw
28S,10,1.72533,64,2,##,100,pratim.raw
10,9,-0.10522,27,2,##,100,pratim.raw
9,28S,-1.62358,50,2,##,100,pratim.raw
28S,82,0.80087,62,2,##,100,pratim.raw
82,84,0.91506,117,4,##,100,pratim.raw
84,83,-1.04032,65,2,##,100,pratim.raw
83,85,0.02669,51,2,##,100,pratim.raw
85,20S,0.59337,49,2,##,100,pratim.raw
107,108,0.04398,27,2,0.14,100,pratim.raw
108,15S,0.92082,88,4,0.74,719,pratim.raw
58M,14,-0.70242,29,2,##,100,pratim.raw
14,13,0.05208,19,2,##,100,pratim.raw
13,58M,0.6519,27,2,##,719,pratim.raw
12S,20,0.01932,46,2,0.78,100,pratim.raw
