Code,H,HRank
409592,34.121,1
409593,24.743,1
409594,14.986,1
409595,9.209,1
409596,12.434,1
409597,10.959,1
409598,57.382,1
409599,37.719,1
409600,25.813,1
409601,108.968,1
409602,68.072,1
409603,114.89,1
409604,13.707,1
409605,263.574,1
409607,235.813,1
409609,127.96,1
409610,46.697,1
409612,70.789,1
409613,53.243,1
409614,23.082,1
409615,62.224,1
409616,54.559,1
409617,15.262,1
409619,19.889,1
409620,76.472,1
409621,121.538,1
409622,158.986,1
409623,217.808,1
409624,227.853,1
409625,164.046,1
409626,233.087,1
409627,201.56,1
409628,-46.094,1
409629,-85.523,1
409630,-95.791,1
409631,-12.713,1
409632,1.698,1
409633,21.362,1
409634,37.949,1
409635,61.014,1
409636,14.594,1
409637,56.245,1
409638,4.499,1
409639,5.242,1
409640,19.858,1
409641,286.305,1
409642,89.313,1
409643,169.498,1
409644,149.217,1
409645,201.476,1
409647,8.228,1
409648,8.363,1
409649,10.918,1
409650,60.429,1
409651,94.324,1
409652,132.91,1
409653,133.316,1
409654,380.348,1
409655,4.899,1
409656,13.803,1
409657,8.533,1
409658,-206.121,1
409659,42.367,1
409660,14.033,1
409661,19.907,1
409662,17.83,1
409663,33.702,1
409664,23.026,1
409666,55.705,1
409667,53.445,1
409668,55.566,1
409669,43.826,1
409670,126.691,1
409671,15.319,1
409672,28.347,1
409675,51.345,1
409676,23.741,1
409677,16.613,1
409678,20.097,1
409679,24.238,1
409681,28.097,1
409682,34.61,1
409683,64.758,1
409684,349.246,1
409685,319.738,1
409686,19.756,1
409687,64.613,1
409688,93.358,1
409689,36.984,1
409690,69.381,1
409691,119.806,1
409692,111.224,1
409694,28.354,1
409695,24.026,1
409697,31.439,1
409698,345.31,1
409699,10.579,1
409700,6.934,1
409701,16.605,1
409702,35.201,1
409703,37.417,1
409704,77.41,1
409706,190.082,1
409708,168.303,1
409709,219.287,1
409710,236.933,1
409711,233.215,1
409712,56.917,1
409713,432.004,1
409714,466.134,1
409715,28.952,1
409716,28.955,1
409717,49.22,1
409718,88.773,1
409719,103.043,1
409720,90.867,1
409721,65.036,1
409722,222.27,1
409723,216.443,1
409724,212.349,1
409725,42.62,1
409726,179.471,1
409728,13.48,1
409729,92.524,1
409730,80.333,1
409731,80.207,1
409732,62.324,1
409734,50.41,1
409735,105.699,1
409736,83.613,1
409737,143.384,1
409738,627.624,1
409740,131.477,1
409741,107.799,1
409742,100.884,1
409743,91.028,1
409744,130.133,1
