point,H [m],sigma 95% [mm]
12SN,39.881,2.02
13SN,39.199,7.52
15SN,37.558,7.42
17SN,44.610,6.55
19SN,28.643,4.61
24SN,34.854,2.18
25SN,37.398,2.07
27SN,38.137,1.82
28SN,35.846,1.10
31SN,34.402,1.46
33SN,37.871,1.25
36SN,40.899,5.65
37S,39.883,3.15
37SN,38.967,3.50
40SN,38.739,2.68
49SN,34.865,8.48
4SN,40.870,5.20
5SN,40.001,0.37
9SN,27.646,6.17
