point,H [m],sigma 95% [mm]
1D,44.966,0.86
28,45.892,0.71
28B,45.937,0.71
29,45.741,0.71
29B,45.718,0.86
3727,35.387,0.86
3730,46.137,1.19
48,38.662,0.86
