from,to,type
-J47.,-1247U.,filename
-J46.,-1246U.,filename
-J45.,-1245U.,filename
-J44.,-1244U.,filename
-J43.,-1243U.,filename
-J42.,-1242U.,filename
-J41.,-1241U.,filename
-J40.,-1240U.,filename
-J39.,-1239U.,filename
-J38.,-1238U.,filename
-J37.,-1237U.,filename
-J36.,-1236U.,filename
-J35.,-1235U.,filename
-J34.,-1234U.,filename
-J33.,-1233U.,filename
-J32.,-1232U.,filename
-J31.,-1231U.,filename
-J30.,-1230U.,filename
-J29.,-1229U.,filename
-J28.,-1228U.,filename
-J27.,-1227U.,filename
-J26.,-1226U.,filename
-J25.,-1225U.,filename
-J24.,-1224U.,filename
-J23.,-1223U.,filename
-J22.,-1222U.,filename
-J21.,-1221U.,filename
-J20.,-1220U.,filename
-J19.,-1219U.,filename
-J18.,-1218U.,filename
-J17.,-1217U.,filename
-J16.,-1216U.,filename
-J15.,-1215U.,filename
-J14.,-1214U.,filename
-J13.,-1213U.,filename
-J12.,-1212U.,filename
-J11.,-1211U.,filename
-J10.,-1210U.,filename
-96J.,-1296U.,filename
-95J.,-1295U.,filename
-94J.,-1294U.,filename
-93J.,-1293U.,filename
-92J.,-1292U.,filename
-91J.,-1291U.,filename
-90J.,-1290U.,filename
-89J.,-1289U.,filename
-88J.,-1288U.,filename
-87J.,-1287U.,filename
-86J.,-1286U.,filename
-85J.,-1285U.,filename
-84J.,-1284U.,filename
-83J.,-1283U.,filename
-82J.,-1282U.,filename
-81J.,-1281U.,filename
-80J.,-1280U.,filename
-79J.,-1279U.,filename
-78J.,-1278U.,filename
-77J.,-1277U.,filename
-76J.,-1276U.,filename
-75J.,-1275U.,filename
-74J.,-1274U.,filename
-73J.,-1273U.,filename
-72J.,-1272U.,filename
-71J.,-1271U.,filename
-70JA.,-1270U.,filename
-69J.,-1269U.,filename
-68J.,-1268U.,filename
-67J.,-1267U.,filename
-66J.,-1266U.,filename
-65J.,-1265U.,filename
-64J.,-1264U.,filename
-63J.,-1263U.,filename
-62J.,-1262U.,filename
-61J.,-1261U.,filename
-60J.,-1260U.,filename
-59J.,-1259U.,filename
-58J.,-1258U.,filename
-57J.,-1257U.,filename
-56J.,-1256U.,filename
-55J.,-1255U.,filename
-54J.,-1254U.,filename
-53J.,-1253U.,filename
-52J.,-1252U.,filename
-51J.,-1251U.,filename
-50J.,-1250U.,filename
-49J.,-1249U.,filename
-48J.,-1248U.,filename
-47J.,-1247U.,filename
-46J.,-1246U.,filename
-45J.,-1245U.,filename
-44J.,-1244U.,filename
-43J.,-1243U.,filename
-42J.,-1242U.,filename
-41J.,-1241U.,filename
-40J.,-1240U.,filename
-39J.,-1239U.,filename
-38J.,-1238U.,filename
-37J.,-1237U.,filename
-36J.,-1236U.,filename
-35J.,-1235U.,filename
-34J.,-1234U.,filename
-33J.,-1233U.,filename
-32J.,-1232U.,filename
-31J.,-1231U.,filename
-30J.,-1230U.,filename
-29J.,-1229U.,filename
-28J.,-1228U.,filename
-27J.,-1227U.,filename
-26J.,-1226U.,filename
-25J.,-1225U.,filename
-24J.,-1224U.,filename
-23J.,-1223U.,filename
-22J.,-1222U.,filename
-21J.,-1221U.,filename
-20J.,-1220U.,filename
-19J.,-1219U.,filename
-18J.,-1218U.,filename
-17J.,-1217U.,filename
-16J.,-1216U.,filename
-15J.,-1215U.,filename
-14J.,-1214U.,filename
-13J.,-1213U.,filename
