Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source,File
1003Q,745A,-46.98073,14050,203,11.49,0,temp,1998-r1,0001_1003Q-745A.rez
4751,736A,-132.61936,6722,142,7.3,0,temp,1998-r1,1000_4751-736A.rez
4751,509U,-57.71494,5689,227,-3.87,0,temp,luba,1001_4751-509U.rez
4756,737A,-238.29539,8962,205,2.7,0,temp,1998-r1,1002_4756-737A.rez
4764,4765,51.61,1220,28,1.84,0,temp,1998-r2,1004_4764-4765.rez
4790,510U,26.20244,3056,80,-0.83,0,temp,1998-r2,1007_4790-510U.rez
4790,510U,26.20246,3190,92,0.35,0,temp,luba,1008_4790-510U.rez
4820,6011,-0.92666,1265,23,0.3,0,temp,3728,1014_4820-6011.rez
4820,60111,11.55686,1710,35,-0.35,0,temp,3728,1015_4820-60111.rez
4830,751A2,-0.33908,1335,33,1.2,0,temp,1998-r1,1016_4830-751A2.rez
4830,751A2,-0.34006,116,2,0,0,temp,1998-r1,1017_4830-751A2.rez
4830,757U,-36.47442,8253,171,7.7,0,temp,1998-r1,1018_4830-757U.rez
4839,762A,-29.27634,2575,39,-1.8,0,temp,1998-r1,1019_4839-762A.rez
4839,762A,-29.27249,2679,67,-1.95,0,temp,3728,1020_4839-762A.rez
4850,504U,62.11415,7497,146,-1,0,temp,1998-r1,1023_4850-504U.rez
49U,50U,-23.08254,7104,129,0.14,0,temp,1998-r1,1071_49U-50U.rez
49U,6234,-7.93647,2386,50,-1.62,0,temp,luba,1072_49U-6234.rez
4FB,699A,158.69982,35720,893,-3.73,0,temp,1998-r2,1073_4FB-699A.rez
508U,741A,-1.89285,3644,105,1.63,0,temp,luba,1090_508U-741A.rez
508U,741A,-1.86556,3450,60,-3.23,0,temp,1998-r2,1091_508U-741A.rez
508U,6056,12.37042,5353,134,3.5,0,temp,luba,1092_508U-6056.rez
509U,737A,-18.04266,1820,26,-1.18,0,temp,1998-r2,1107_509U-737A.rez
509U,741A,2.70106,1810,56,-0.02,0,temp,luba,1108_509U-741A.rez
509U,741A,2.72264,1750,32,-0.02,0,temp,1998-r2,1109_509U-741A.rez
50U,6234,15.16224,5669,118,-1.66,0,temp,luba,1110_50U-6234.rez
510U,6060,4.76478,202,7,-0.19,0,temp,1998-r1,1111_510U-6060.rez
510U,6060,4.76468,439,13,-0.3,0,temp,1998-r1,1112_510U-6060.rez
510U,6066,46.88918,2815,90,-0.58,0,temp,luba,1113_510U-6066.rez
51U,6024,-27.82578,2652,62,1.24,0,temp,luba,1116_51U-6024.rez
51U,6024,-27.83112,2646,57,-1.57,0,temp,1998-r1,1117_51U-6024.rez
52U,6022,3.06386,1873,40,-1.16,0,temp,luba,1120_52U-6022.rez
52U,6022,3.06154,1622,32,-1.18,0,temp,1998-r1,1121_52U-6022.rez
52U,6024,4.58,3425,52,2.03,0,temp,1998-r1,1122_52U-6024.rez
52U,6024,4.58574,3320,68,0.37,0,temp,luba,1123_52U-6024.rez
53U,6016,-0.75103,129,5,0.43,0,temp,luba,1125_53U-6016.rez
53U,6016,-0.74562,114,3,0.18,0,temp,1998-r1,1126_53U-6016.rez
53U,6039,-5.65146,2649,84,2.38,0,temp,luba,1127_53U-6039.rez
543A,6136,45.28208,1084,47,0.87,0,temp,1998-r1,1130_543A-6136.rez
543A,6136,45.26881,1094,34,0.12,0,temp,luba,1131_543A-6136.rez
544A,6141,-58.34331,2021,66,2.22,0,temp,1998-r1,1133_544A-6141.rez
544A,6141,-58.34331,2013,53,1.88,0,temp,luba,1134_544A-6141.rez
544A,6142,-26.3115,958,39,-0.03,0,temp,1998-r1,1135_544A-6142.rez
59PU,6195,10.4116,18721,466,1.11,0,temp,luba,1177_59PU-6195.rez
59PU,6222,1.1496,29933,789,-11.83,0,temp,luba,1178_59PU-6222.rez
59PU,6177,3.77586,2540,57,-3.26,0,temp,luba,1179_59PU-6177.rez
59U,6036,5.11816,1669,34,-0.89,0,temp,1998-r1,1180_59U-6036.rez
59U,6036,5.1369,1684,46,0.45,0,temp,luba,1181_59U-6036.rez
59U,6037,3.3195,1368,20,0.33,0,temp,1998-r1,1182_59U-6037.rez
59U,6037,3.323,1554,48,-2.17,0,temp,luba,1183_59U-6037.rez
6011,60111,12.46882,2904,46,-3.5,0,temp,1998-r1,1184_6011-60111.rez
60111,6013,-7.04419,2409,38,-4.05,0,temp,1998-r1,1185_60111-6013.rez
60111,6013,-7.06552,2416,43,-1.18,0,temp,3728,1186_60111-6013.rez
6013,60141,-14.60345,1656,35,0.86,0,temp,1998-r1,1187_6013-60141.rez
6013,60141,-14.59784,1642,30,-1.56,0,temp,3728,1188_6013-60141.rez
6014,60141,-10.92939,339,15,-0.55,0,temp,1998-r1,1189_6014-60141.rez
6014,60141,-10.85301,341,13,0.42,0,temp,3728,1190_6014-60141.rez
6016,6019,6.44356,1700,58,-0.53,0,temp,luba,1191_6016-6019.rez
6016,6018,5.8277,1695,28,1.88,0,temp,1998-r1,1192_6016-6018.rez
6016,6039,-4.9026,2551,44,1.42,0,temp,1998-r1,1193_6016-6039.rez
6018,6019,0.62011,60,2,-0.26,0,temp,1998-r1,1194_6018-6019.rez
6018,6019,0.618,86,2,-0.14,0,temp,luba,1195_6018-6019.rez
6018,6019,0.61329,86,3,0.01,0,temp,luba,1196_6018-6019.rez
6018,6021,3.65875,1085,24,0.33,0,temp,luba,1197_6018-6021.rez
6019,6021,3.03326,1131,16,1.08,0,temp,1998-r1,1198_6019-6021.rez
6019,63U,548.8676,22528,654,-1.93,0,temp,luba,1199_6019-63U.rez
6021,6022,-10.80729,2914,69,0.57,0,temp,1998-r1,1200_6021-6022.rez
6021,6022,-10.81174,2662,57,-1.36,0,temp,luba,1201_6021-6022.rez
6028,6153,-18.35285,10205,287,-2.44,0,temp,luba,1202_6028-6153.rez
6028,60281,-3.8711,174,9,0.61,0,temp,1998-r1,1203_6028-60281.rez
6033,6034,0.63158,1238,18,1.14,0,temp,1998-r1,1204_6033-6034.rez
6034,6035,1.24496,1299,22,1.47,0,temp,1998-r1,1205_6034-6035.rez
6034,6035,1.2612,1769,57,0.66,0,temp,luba,1206_6034-6035.rez
6035,6036,3.96519,1934,35,-2.49,0,temp,1998-r1,1207_6035-6036.rez
6035,6036,3.97308,2019,71,-0.75,0,temp,luba,1208_6035-6036.rez
6037,6038,-5.25288,1897,28,0.51,0,temp,1998-r1,1209_6037-6038.rez
6037,6038,-5.2572,2093,69,1.14,0,temp,luba,1210_6037-6038.rez
6038,6039,0.64889,395,10,0.96,0,temp,1998-r1,1211_6038-6039.rez
6038,6039,0.64895,278,11,0.09,0,temp,luba,1212_6038-6039.rez
6056,6058,9.33868,135,10,0.48,0,temp,1998-r1,1213_6056-6058.rez
6056,6058,9.33988,145,8,0.03,0,temp,luba,1214_6056-6058.rez
6058,6060,32.8722,6613,124,-0.47,0,temp,1998-r1,1215_6058-6060.rez
6060,6066,42.12358,2327,60,-0.12,0,temp,1998-r1,1216_6060-6066.rez
6062,6063,-70.70594,3647,89,-0.47,0,temp,1998-r1,1217_6062-6063.rez
6062,60621,-7.71877,128,8,0.14,0,temp,1998-r1,1218_6062-60621.rez
6063,60651,-121.39826,3568,79,4.39,0,temp,1998-r1,1219_6063-60651.rez
6063,60651,-121.39934,3564,142,-2.48,0,temp,luba,1220_6063-60651.rez
6066,6067,26.18608,2060,77,0.29,0,temp,luba,1221_6066-6067.rez
6066,6067,26.1894,1930,46,0.77,0,temp,1998-r1,1222_6066-6067.rez
6067,92U,10.43825,16221,525,-6.88,0,temp,1998-r1,1223_6067-92U.rez
6081,6123,-170.39625,41338,1412,-6.92,0,temp,1998-r1,1224_6081-6123.rez
6081,60961,-485.79626,29862,997,-1.03,0,temp,1998-r1,1225_6081-60961.rez
60961,6096,0.47139,78,8,0.01,0,temp,1998-r1,1226_60961-6096.rez
60961,6098,-113.53094,3611,146,1.05,0,temp,1998-r1,1227_60961-6098.rez
6098,6099,-49.76677,1119,51,-0.88,0,temp,1998-r1,1228_6098-6099.rez
6098,6099,-49.75935,1115,42,0.92,0,temp,luba,1229_6098-6099.rez
6123,6124,-128.08584,2678,156,-1.42,0,temp,luba,1231_6123-6124.rez
6123,6124,-128.08974,1492,86,-1.82,0,temp,1998-r1,1232_6123-6124.rez
6124,6126,-227.01628,2981,177,-0.83,0,temp,1998-r1,1233_6124-6126.rez
6124,6126,-227.00484,2991,168,1.99,0,temp,luba,1234_6124-6126.rez
6126,6128,-93.59268,1988,68,-3.38,0,temp,1998-r1,1235_6126-6128.rez
6126,6128,-93.57542,2014,80,-1.87,0,temp,luba,1236_6126-6128.rez
6128,6134,-90.90178,11102,254,3.41,0,temp,luba,1237_6128-6134.rez
6128,6131,-61.16714,6221,174,-4.72,0,temp,1998-r1,1238_6128-6131.rez
6131,6258,155.58325,6412,140,-1.05,0,temp,luba,1241_6131-6258.rez
6131,6132,-8.92251,2014,37,-2.38,0,temp,1998-r1,1242_6131-6132.rez
6131,6132,-9.46145,2015,40,-0.38,0,temp,luba,1243_6131-6132.rez
6132,6134,-20.80563,4080,74,-2.32,0,temp,1998-r1,1244_6132-6134.rez
6132,6134,-20.81223,4104,82,-2.46,0,temp,luba,1245_6132-6134.rez
6132,6134,-20.81223,4161,86,-2.4,0,temp,luba,1246_6132-6134.rez
6134,6135,2.83568,2179,49,-1.71,0,temp,1998-r1,1247_6134-6135.rez
6134,6135,2.84291,6517,192,0.86,0,temp,luba,1248_6134-6135.rez
6136,6137,-49.75273,2349,92,-2.28,0,temp,1998-r1,1249_6136-6137.rez
6136,6137,-49.73576,2360,66,-0.15,0,temp,luba,1250_6136-6137.rez
6139,6141,7.01139,3904,78,0.23,0,temp,luba,1251_6139-6141.rez
6139,6141,6.81116,3911,79,-2.1,0,temp,1998-r1,1252_6139-6141.rez
6142,6143,44.72983,1993,82,-0.25,0,temp,luba,1253_6142-6143.rez
6142,6143,44.74269,1826,97,-0.31,0,temp,1998-r1,1254_6142-6143.rez
6143,6144,66.20093,1273,52,-0.31,0,temp,luba,1255_6143-6144.rez
6143,6144,66.20335,1212,58,1.24,0,temp,1998-r1,1256_6143-6144.rez
6144,6147,-49.67782,5334,205,-3.02,0,temp,1998-r1,1257_6144-6147.rez
6147,6148,-66.77712,2022,73,2.71,0,temp,1998-r1,1258_6147-6148.rez
6147,6148,-66.69952,2565,70,2,0,temp,luba,1259_6147-6148.rez
6148,6151,-227.28675,5369,226,0.69,0,temp,1998-r1,1260_6148-6151.rez
6148,6151,-227.35147,5452,162,-1.49,0,temp,luba,1261_6148-6151.rez
6151,6152,-68.41178,1818,77,1.95,0,temp,1998-r1,1264_6151-6152.rez
6151,6153,-65.05894,2104,54,2.22,0,temp,luba,1265_6151-6153.rez
6152,6153,3.33925,318,10,0.38,0,temp,1998-r1,1266_6152-6153.rez
6209,6222,-4.96755,161,6,-0.4,0,temp,luba,1272_6209-6222.rez
6222,757U,6.47007,1416,39,-0.47,0,temp,luba,1279_6222-757U.rez
65PU,687A1,-20.48988,4849,73,6.14,0,temp,1998-r1,1313_65PU-687A1.rez
65PU,687A1,-20.4972,4645,111,2.29,0,temp,luba,1314_65PU-687A1.rez
756A,760A,58.76417,12167,186,-0.2,0,temp,1998-r1,1384_756A-760A.rez
1077,10771,52.32844,730,32,0.31,0,temp,1998-r2,0016_1077-10771.rez
1077,10771,52.33095,702,39,1.41,0,temp,3728,0017_1077-10771.rez
1077,1079,-184.82308,3990,114,2.04,0,temp,1998-r2,0018_1077-1079.rez
20F,6126,-250.65151,7313,274,3.99,0,temp,luba,0183_20F-6126.rez
20F,6131,-404.87014,12766,406,2.37,0,temp,luba,0184_20F-6131.rez
20F,6123,104.42777,11503,574,3.92,0,temp,luba,0185_20F-6123.rez
1077,1079,-184.77077,3908,156,0.78,0,temp,3728,0019_1077-1079.rez
1003Q,4488,-1.24683,22705,435,11.2,0,temp,1998-r1,0002_1003Q-4488.rez
