Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
573U,574U,-119.2993,1410,67,0.72,267,787,1998-r2
574U,991,-136.5982,2700,77,-0.37,267,787,1998-r2
991,575U,-88.78073,1980,55,-1.54,267,787,1998-r2
573U,6214,-161.1129,2122,80,0.53,202,915.RAW,luba
6214,6215,-80.71187,1459,46,-1.84,202,915.RAW,luba
6215,6216,-29.20228,1109,28,0.56,202,915.RAW,luba
6216,575U,-73.69326,1408,52,1.55,202,915.RAW,luba
573U,988,108.89351,2090,62,0.17,267,787,1998-r2
575U,576U,-99.99039,1530,58,3.45,267,786,1998-r2
575U,576U,-100.00237,1509,56,1.71,202,915.RAW,luba
576U,586U,22.03017,2200,46,-2.02,467,799,1998-r2
576U,586U,22.03216,2132,54,0.05,102,915.RAW,luba
589U,590U,-7.93832,3000,44,-4.5,567,800,1998-r2
589U,590U,-7.93355,2957,62,-0.52,102,915.RAW,luba
592U,3622,8.6141,3050,40,-2.05,168,801,1998-r2
3622,593U,7.53523,2650,34,-3.2,168,801,1998-r2
592U,6220,13.46949,6261,128,2.49,102,915.RAW,luba
6220,593U,2.66439,2210,46,0.38,1201,915.RAW,luba
157U,156U,-42.5259,2141,62,-0.41,697,986.RAW,luba
156U,155U,-19.4817,1919,61,0.76,697,987.RAW,luba
155U,152U,8.09917,1945,61,0.41,697,987.RAW,luba
152U,154U,1.39614,94,4,0.08,797,987.RAW,luba
154U,153U,0.28639,78,4,0.1,797,987.RAW,luba
153U,151U,-11.97028,1101,32,1.5,797,987.RAW,luba
151U,150U,-20.93561,1767,48,-1.86,797,987.RAW,luba
150U,149U,-21.40645,1686,50,1.5,797,987.RAW,luba
149U,147U,-35.39235,3629,93,-1.95,797,987.RAW,luba
147U,146U,0.08541,1753,49,-1.93,797,987.RAW,luba
146U,144U,1.92638,98,3,-0.06,797,987.RAW,luba
144U,145U,-1.83381,128,4,0.15,797,987.RAW,luba
145U,143U,-9.07695,1842,47,1.74,797,987.RAW,luba
143U,142U,9.47051,1804,49,-1.66,797,987.RAW,luba
142U,141U,9.04728,1984,54,1.7,797,987.RAW,luba
611U,4434,31.70896,2450,32,3.67,281,1286,1998-r2
4434,668A,38.29643,1780,24,0.84,481,1285,1998-r2
668A,4436,78.20988,2130,38,2.27,481,1285,1998-r2
4436,669A,30.97397,1500,26,-3.06,281,1256,1998-r2
141U,139U,-25.78406,2223,66,-1.9,797,987.RAW,luba
139U,140U,1.16839,86,3,-0.38,797,987.RAW,luba
612U,3632,16.29577,2890,38,-3.79,567,804,1998-r2
3632,614U,8.75612,3140,42,4.45,567,804,1998-r2
