num,Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
397,1103b,1102b,-3.43358,556,18,-0.24,1219,1103B-1102B.DAT.raw,3786 - area b
398,1102b,1101b,7.08093,687,20,-0.6,1219,1102B-1101B.DAT.raw,3786 - area b
399,1101b,5506MPI,-5.5693,416,13,-0.22,1219,1101B-5506MPI.DAT.raw,3786 - area b
400,5506MPI,1140b,-6.90226,1826,49,0.88,1219,5506MPI-1140B.DAT.raw,3786 - area b
401,1140b,5511MPI,-4.87786,1337,31,-0.22,1219,1140B-5511MPI.DAT.raw,3786 - area b
402,5511MPI,428U,0.01441,884,24,0.74,1219,5511MPI-428U.DAT.raw,3786 - area b
403,428U,1110b,-2.7823,1122,27,1.06,1119,428U-1110B.DAT.raw,3786 - area b
404,1110b,3555,-0.234,1613,35,1.36,1119,1110B-3555.DAT.raw,3786 - area b
405,3555,5503MPI,6.05533,1534,35,2.01,1219,3555-5503MPI.DAT.raw,3786 - area b
406,5503MPI,5502MPI,10.87853,1746,43,0.1,1219,5503MPI-5502MPI.DAT.raw,3786 - area b
407,5502MPI,5501MPI,6.20023,1651,36,0.04,1219,5502MPI-5501MPI.DAT.raw,3786 - area b
408,5501MPI,302A,32.51477,1348,53,1.72,1219,5501MPI-302A.DAT.raw,3786 - area b
409,302A,3193,8.5636,2070,60,1.82,919,302U3913.DAT.raw,3786 - area b
410,3193,1500JAD,-22.76053,1258,51,-1.3,1019,3193-1500JAD.DAT.raw,3786 - area b
411,1500JAD,1501JAD,-19.40523,1490,47,0.02,1019,1500JAD-1501JAD.DAT.raw,3786 - area b
412,1501JAD,1502JAD,-13.70891,1300,27,1.33,1019,1501JAD-1502JAD.DAT.raw,3786 - area b
413,1502JAD,1504JAD,0.50685,821,22,1.26,1119,1502JAD-1504JAD.DAT.raw,3786 - area b
414,1504JAD,429U,-10.322,1563,33,1.24,1119,1504JAD-429U.DAT.raw,3786 - area b
415,429U,1021b,1.60158,1037,29,0.63,1019,429U-1021B.DAT.raw,3786 - area b
416,1021b,1035b,-6.58708,1439,33,0.89,819,1021B-1035B.DAT.raw,3786 - area b
417,1035b,1017b,-0.23644,1265,29,0.95,1119,1035B-1017B.DAT.raw,3786 - area b
418,1017b,5429MPI,-3.26643,651,17,0.27,1119,1017B-5429MPI.DAT.raw,3786 - area b
419,5429MPI,1014b,0.7576,1517,31,0.28,1119,5429MPI-1014B.DAT.raw,3786 - area b
420,1014b,1012b,2.25688,1276,33,1.3,1119,1014B-1012B.DAT.raw,3786 - area b
421,1012b,5427MPI,-2.83038,1269,29,1.06,1119,1012B-5427MPI.DAT.raw,3786 - area b
422,5427MPI,5426MPI,-2.81283,822,20,0.82,1119,5427MPI-5426MPI.DAT.raw,3786 - area b
423,5426MPI,1003b,4.20862,836,23,0.82,1119,5426MPI-1003B.DAT.raw,3786 - area b
424,1003b,5496MPI,-8.69836,1271,34,-0.38,1119,1003B-5496MPI.DAT.raw,3786 - area b
425,5496MPI,5497MPI,-3.65032,1162,25,1.64,1119,5496MPI-5497MPI.DAT.raw,3786 - area b
426,5497MPI,5498MPI,-2.03994,1303,24,0.28,1219,5497MPI-5498MPI.DAT.raw,3786 - area b
427,5498MPI,5499MPI,-1.71966,822,26,-0.89,1219,5498MPI-5499MPI.DAT.raw,3786 - area b
428,5499MPI,5500MPI,-1.99277,907,17,0.2,1219,5499MPI-5500MPI.DAT.raw,3786 - area b
429,5500MPI,260TA,1.42614,874,25,0.65,1219,5500MPI-260TA.DAT.raw,3786 - area b
430,260TA,182TA,-1.93449,1243,29,-0.52,1219,260TA-182TA.DAT.raw,3786 - area b
431,182TA,4758,-12.53577,2012,48,2.01,120,182TA-4758.DAT.raw,3786 - area b
432,4758,410U,-1.92139,1004,27,1.06,1119,4758-410U.DAT.raw,3786 - area b
