OBJECTID,code,X,Y,grav
695,409804,35.54556494,32.77492571,979571.5625
696,409805,35.5566662,32.76154715,979566.6875
697,409806,35.56856673,32.73815677,979566.625
698,409807,35.56888588,32.72167698,979561.8125
699,409808,35.57083942,32.71995389,979562.625
700,409815,35.34627357,32.76173408,979529.9375
701,409816,35.34477474,32.7615834,979530.0625
702,409821,35.48820469,32.78747983,979536.8125
703,409824,35.51712264,32.79658117,979562.3125
704,409825,35.40529011,32.79564729,979516.0625
705,409826,35.40055971,32.80866534,979515.6875
706,409868,35.64721347,33.17263973,979547.1875
707,409869,35.64281158,33.15416283,979543.625
708,409870,35.64845649,33.12051556,979529.75
709,409871,35.6440899,33.10097077,979535.8125
710,409873,35.63452155,33.06313511,979547.75
711,409875,35.62695246,33.03204506,979541.0625
712,409876,35.54564891,32.9111779,979533.625
713,409877,35.5480108,32.90453532,979541.9375
714,409885,35.63574211,33.01917547,979524.1875
715,409886,35.64274509,33.0133895,979513.0625
716,409889,35.63989483,32.97781111,979523.0625
717,409890,35.63890695,32.95739195,979530.5625
718,409893,35.6330495,32.92043492,979568.9375
719,409895,35.63606796,32.90357235,979577.625
720,409901,34.98553073,31.84436755,979453.4375
721,409906,35.62550514,33.0090578,979527.5625
722,409910,35.54791884,33.2207397,979466
723,409911,35.55832981,33.22747272,979498.3125
724,409913,35.57940378,33.23602151,979534.3125
725,409915,35.57741678,33.22288178,979541.1875
726,409918,35.63744366,33.22000952,979558.8125
727,409919,35.65012755,33.20620782,979552.625
728,409923,34.82494657,31.79182525,979476.5
729,409924,34.77580005,31.78147989,979477.0625
730,409927,34.77983853,31.77315429,979476.4375
731,409928,34.80000654,31.76834903,979475.5
732,409931,35.14828303,32.80687766,979576.8125
733,409938,34.7295081,31.39536917,979385.6875
734,409944,34.76617828,31.7966177,979476.875
735,409946,34.76348941,31.80472485,979477.5625
736,409947,34.75460393,31.80780506,979477
737,409948,35.64876982,33.12985809,979530.25
738,409949,35.62274141,33.01527361,979530.8125
739,409950,34.97765404,31.83219356,979449.625
740,409952,34.96460608,31.83047774,979452.75
741,409953,34.61526838,31.69455363,979457.125
742,409955,34.9519874,31.99621659,979495.0625
743,409958,34.70642268,31.64480876,979457.5625
744,409960,34.70512068,31.8189655,979473.4375
745,409961,34.91643881,31.81585523,979465.125
746,409963,34.95993784,31.71372086,979417.5
747,409964,34.86542331,31.59255122,979401.625
748,409968,34.76119021,31.58442424,979429.625
749,409972,34.9587724,32.64388305,979596
750,409973,35.02732907,32.78873279,979588.6875
751,409980,34.76996207,31.92114377,979486.8125
752,409981,34.76816507,31.91521363,979487.1875
753,409984,34.71490208,31.83415226,979474.625
754,409987,34.92893379,32.50352203,979565.5
755,409988,34.75416396,32.05011009,979488.1875
756,409992,34.86417739,32.37746268,979536.625
757,409995,35.57854644,32.67118593,979559.8125
758,410001,34.99575692,32.46628076,979557.5
759,410008,34.94180093,32.58330736,979578.625
760,410009,35.29052695,32.60926037,979543.5
761,410012,34.65285425,31.3375457,979390.1875
762,410013,35.00363498,31.7775941,979419.1875
763,410014,34.75626615,31.62545708,979445.875
764,410015,34.7709049,32.09133591,979494
765,410016,34.86444641,32.32828184,979528.75
766,410017,34.80405859,32.14083665,979503.0625
767,410019,34.93994271,31.95656027,979489.5625
768,410027,34.66584752,31.77422839,
769,410030,34.9568253,32.62334716,979593.1875
770,410089,34.69247238,31.83151365,979473.5625
771,410103,34.87276416,32.25487354,979525.5625
772,410123,34.91151695,32.43696153,979547.1875
773,410143,35.06187755,32.49592839,979547.1875
774,410154,35.1916561,32.57352593,979537.1875
775,410237,35.38149571,32.76651244,979519.375
776,410243,35.54367945,32.55773694,979552.75
777,410257,35.55376324,32.72138043,979549.5
778,410262,35.4140593,32.6803898,979538.125
779,410280,35.08874037,31.80006985,979362.6875
780,410281,35.12566786,31.80042667,979358.9375
781,410302,35.13763916,32.28508701,979479.375
782,410309,35.14808495,31.79620645,979358.75
783,410329,35.2085933,31.77161517,979319
784,410334,35.38786138,32.07204614,979431.4375
785,410337,35.4499885,32.04965263,979527.875
786,410345,35.19855525,31.75169338,979321
787,410367,34.96257288,31.40032254,979309.125
788,410368,34.98776571,31.41885633,979302.875
789,410369,34.99192461,31.4260784,979302.875
790,410370,35.00503151,31.44007871,979305.5625
791,410371,35.02448908,31.45814522,979295.625
792,410372,35.03503532,31.46762937,979289.9375
793,410373,35.05763146,31.48479303,979279.4375
794,410374,35.06497717,31.49201628,979276.8125
795,410375,35.07655488,31.50736032,979268.125
796,410376,35.09177354,31.51864809,979262.1875
797,410384,34.93374448,31.35526047,979337.4375
798,410385,34.94424495,31.37007327,979327.25
799,410386,34.95275278,31.37641252,979322.5625
800,410387,34.95476829,31.38542637,979318.5625
801,410388,34.9588718,31.39219848,979314.25
802,410396,34.78550843,31.42326114,979375.9375
803,410399,34.77781533,31.43366149,979378.8125
804,410402,34.92165433,31.32566568,979342.5
805,410403,34.92711748,31.33397687,979341.625
806,410404,34.93377186,31.34570042,979338.375
807,410470,34.95482961,31.95173915,979484.5
808,410473,34.99443977,31.92881665,979463.5625
809,410474,34.99997283,31.92619687,979462.1875
810,410475,35.00768218,31.92157014,979460.125
811,410483,34.9907592,31.8402641,979449.875
812,410485,35.1080544,31.59622235,979265.8125
813,410486,35.10279778,31.58539587,979261.375
814,410487,35.10071414,31.56420028,979255.625
815,410488,35.09861515,31.55743452,979257.0625
816,410489,35.09697448,31.54615975,979259
817,410490,35.10066479,31.53263468,979257.625
818,410503,35.11116809,31.6120073,979273
819,410504,35.22524991,31.76424547,979326.75
820,410505,35.22247246,31.75761735,979325.6875
821,410506,35.21537784,31.74343214,979321.25
822,410507,35.21089205,31.73478373,979319.875
823,410508,35.20175399,31.72387151,979320.5625
824,410509,35.19964408,31.71755851,979320.8125
825,410510,35.19224975,31.70583396,979316.3125
826,410511,35.18598483,31.69952025,979310.5625
827,410512,35.17966801,31.69320621,979306.5625
828,410513,35.17299084,31.69465673,979304.875
829,410514,35.16516688,31.68862117,979299.6875
830,410515,35.16043235,31.68619363,979297.6875
831,410516,35.14868648,31.6805705,979296.6875
832,410517,35.14872102,31.67570049,979294.1875
833,410518,35.14120597,31.66974475,979293.3125
834,410519,35.14268575,31.66447863,979291.75
835,410520,35.14285234,31.6517084,979288.9375
836,410521,35.13138149,31.64593436,979282.375
837,410522,35.13216585,31.63276374,979282.9375
838,410523,35.12906138,31.62644892,979280.5
839,410524,35.12168887,31.62013132,979275.875
840,410534,35.22685832,31.77141165,979326.875
841,410542,35.02564671,31.67420995,979381.8125
842,410543,35.03554403,31.67546835,979375.125
843,410549,35.24176258,31.77297153,979331.5625
844,410550,35.26009868,31.7714317,979348.875
845,410551,35.27150854,31.76900024,979359.4375
846,410552,35.28363471,31.76550315,979374.1875
847,410553,35.29115884,31.77444451,979378.8125
848,410554,35.32480055,31.8046558,979420.875
849,410555,35.35379883,31.81757542,979436.0625
850,410556,35.37339252,31.81845274,979440.8125
851,410557,35.41300963,31.79945545,979477.6875
852,410558,35.42542094,31.79705191,979485.75
853,410569,35.55911744,32.72017773,979554.4375
854,410570,35.35229402,32.76073615,979527.3125
855,410576,35.33149909,32.6297978,979528.5
856,410577,34.75847367,31.72981939,979471.125
857,410581,34.76276948,31.74512044,979474.3125
858,410582,34.77951702,31.75683809,979475.9375
859,410583,34.77275904,31.75064684,979475.0625
860,410613,35.14241547,30.24747802,979250.5625
861,410615,34.27272322,31.21281784,979390.125
862,410616,34.31246044,31.21797051,979389.9375
863,410617,34.29349666,31.21098252,979388.75
864,410618,34.3284476,31.22484351,979389.4375
865,410619,34.3544724,31.23564218,979388.375
866,410620,34.38042067,31.24748132,979384.8125
867,410623,34.41611214,31.26257704,979381.5
868,410625,34.43279487,31.28235655,979383.25
869,410633,35.10294393,30.29121283,979253.5
870,410634,35.08059657,30.28805358,979250.3125
871,410637,35.09142885,30.02335636,979232.5
872,410638,35.10124552,30.03773823,979236.5
873,410640,34.58046677,31.1681947,979370.75
874,410641,34.62278431,31.13567804,979363.625
875,410667,34.5389876,31.20156827,979378.5625
876,410672,34.98323633,31.08861353,979288.9375
877,410673,34.83524734,31.22324713,979355.25
878,410674,34.80739182,31.18081958,979338.625
879,410678,34.89739592,30.96671183,979273.75
880,410679,34.86296123,30.93099841,979262.1875
881,410680,34.84168471,30.90743558,979253.75
882,410683,34.74558034,30.82795355,979255.625
883,410684,34.76892125,30.7919227,979238.4375
884,410686,34.81620256,30.62388042,979200.8125
885,410688,35.27446824,31.19550051,979342.8125
886,410689,35.35055929,31.14937525,979392.625
887,410698,35.19026099,31.25173547,979287.875
888,410699,35.25339366,31.01965991,979299.6875
889,410703,35.18167392,31.77218137,979326.5625
890,410705,35.19461517,31.78339291,979325
891,410709,34.93049115,31.28831449,979339.9375
892,410710,34.94508272,31.27537535,979335.375
893,410711,35.02333961,31.26207096,979317.5
894,410712,35.0434066,31.26052833,979317.4375
895,410713,35.09970674,31.25765529,979307.0625
896,410714,35.12486385,31.2556891,979301.6875
897,410715,35.15593949,31.25683196,979298.8125
898,410716,35.20674332,31.25224129,979287.1875
899,410717,35.21879368,31.24574916,979286.625
900,410718,35.23681758,31.23895019,979301.9375
901,410719,35.24953209,31.2161224,979326.5625
902,410723,35.1180616,31.75873473,979373.75
903,410724,35.14409571,31.76766117,979365.25
904,410725,35.15797975,31.77090188,979352.0625
905,410727,35.18645587,31.77807746,979326.25
906,410740,35.17044975,31.79625982,979347.4375
