from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
1241U,1537JAD,33.35344,1152,35,0.31
1537JAD,1240U,24.44694,517,23,0.27
1240U,1239U,27.94149,702,27,-0.18
1239U,1238U,40.67336,799,47,-0.42
1238U,1237U,43.89176,1016,44,0.31
1237U,1536JAD,-15.80862,1164,35,-0.3
1536JAD,1236U,17.36236,888,26,-0.46
1236U,1235U,2.18703,898,20,-0.04
1235U,1234U,5.69218,860,23,-0.24
1234U,1233U,28.09944,597,30,-0.44
1233U,1232U,1.27802,573,15,-0.06
1232U,728U,-20.14026,655,25,0.74
728U,1231U,-10.36818,330,12,-1.2
1231U,1230U,-29.83714,650,30,0.38
1230U,1229U,-15.13268,720,25,-0.37
1229U,1534JAD,37.65912,944,38,1.22
1534JAD,1228U,3.98042,881,22,0.64
1228U,1227U,23.82781,842,34,-0.16
1227U,741U,-2.47692,972,27,0.9
741U,1226U,3.29077,328,10,0.15
1226U,1225U,18.94425,769,29,1.66
1225U,1224U,13.9941,708,22,-0.12
1224U,1223U,-49.54429,813,45,1.36
1223U,1222U,-52.68053,683,51,1.56
1222U,1221U,-38.93904,880,50,-0.09
1221U,740U,-2.02733,831,37,2.3
740U,1220U,-35.78091,1053,53,0.54
1220U,1219U,-33.98222,497,39,1.9
1219U,1218U,-49.74367,520,44,1.29
1218U,1853W,-21.50346,661,35,1.54
1853W,1217U,-24.02981,927,46,0.67
1217U,4564,-48.33387,1087,61,-2.42
4564,1216U,-42.25681,554,46,-1.2
1216U,1215U,-39.78392,486,41,1.6
1215U,1214U,-40.57664,542,40,-1.05
1214U,1213U,-43.11783,600,52,0.81
1213U,1212U,-49.13154,612,46,-1.22
1212U,1211U,-46.13196,571,44,0.7
1211U,1210U,-29.69683,548,34,-0.53
1210U,1209U,-21.92714,502,32,-0.12
1209U,1533JAD,-26.70622,615,35,0.22
1533JAD,1208U,-19.0773,438,29,-0.81
1208U,1207U,-29.4654,567,44,0.24
1207U,1206U,-28.77179,815,40,0.68
1206U,1205U,-36.14207,627,45,-0.56
1205U,1204U,-36.04535,487,40,-0.58
1204U,1203U,-42.42883,535,51,0.7
1203U,4568,-41.9283,1127,48,0.93
4568,1202U,-21.53805,1365,35,-0.43
1202U,1201U,21.59981,1040,41,1.76
1201U,4070MPI,36.27362,615,38,-0.09
4070MPI,DRTA,0.05104,19,2,0.32
742U,1245U,-4.8219,81,8,0.05
12DSW,1617HFL,0.06753,36,4,0.32
1617HFL,1614HFL,-4.18102,539,10,0.83
1614HFL,1612HFL,6.09147,791,14,0.6
1612HFL,9DSW,-3.14466,425,8,-0.14
9DSW,8DSW,-1.47416,507,9,1.12
8DSW,2DSW,-1.47268,578,10,-0.35
2DSW,7DSW,1.20422,316,6,-0.08
7DSW,6DSW,0.4305,519,9,-0.24
6DSW,15DSW,-0.36996,506,9,-0.67
15DSW,1DSW,-1.48688,324,6,-0.24
4321MPI,4391MPI,-56.03627,3837,67,-8.2
4391MPI,4396MPI,-25.91715,2182,46,-4.22
4396MPI,79U,13.37284,1151,24,-0.98
73U,5655MPI,9.2695,1612,33,-2.76
5655MPI,5656MPI,5.52633,700,14,-2.04
5656MPI,4161MPI,-4.02453,1531,32,-1.05
4321MPI,4175MPI,17.07249,1012,39,-1.44
4175MPI,5451MPI,1.51593,27,2,-0.23
4190MPI,86BYM,14.29476,1484,31,-3.6
86BYM,50BYM,-10.03436,557,15,-0.86
1121b,4398MPI,7.77769,774,18,-0.32
4398MPI,1123b,-8.12602,786,20,1.47
1096b,2394RBT,-2.98595,1013,18,-1.47
2394RBT,1132b,-0.03943,578,10,-0.74
5503MPI,1331b,-6.91589,1019,18,-2.03
1331b,3555,0.83677,609,12,-1.7
1441b,5604MPI,1.31842,974,18,-0.78
5604MPI,7420b,0.03636,1034,20,-1.17
1520JAD,1516JAD,-3.41077,996,20,-0.42
1954b,1573JAD,0.20038,1284,26,1.46
1573JAD,1959b,-2.08619,1404,32,1.02
1969b,1576JAD,-8.98003,1309,36,1.74
1576JAD,1974b,12.3652,1105,26,1.6
4009MPI,4109MPI,-0.29902,1432,34,0.56
4109MPI,4355MPI,0.02965,50,2,-0.12
4355MPI,1535JAD,-0.57308,1169,23,0.53
1535JAD,4011MPI,2.32416,1078,27,1.15
4011MPI,1555JAD,3.82835,1735,35,1.72
1555JAD,1556JAD,1.78832,1646,32,1.38
1556JAD,1067U,3.30998,1250,29,0.9
1067U,1557JAD,7.66655,1737,44,1.28
1557JAD,6204,7.10216,1237,30,1.34
6204,1068U,6.0763,1883,39,1.56
1068U,1558JAD,4.02762,911,22,0.98
1558JAD,1512JAD,10.60246,1366,36,-1.38
1512JAD,5519MPI,-2.92392,1190,30,0.47
5519MPI,5520MPI,6.72052,1440,33,0.15
5520MPI,36U,23.64776,1566,47,0.55
36U,5521MPI,7.98967,1203,27,1.21
5521MPI,560JAD,13.77316,1327,28,1.12
560JAD,1561JAD,9.3811,1297,25,1.52
1561JAD,1562JAD,7.07019,1317,28,1.32
1562JAD,1569JAD,10.79179,1012,26,-2.26
1569JAD,4528,20.1195,1610,47,1.54
4569,1563JAD,18.21535,1567,34,-1.3
1563JAD,1564JAD,6.18516,1415,44,0.42
1564JAD,32F,-0.5984,1193,29,1.02
4850,1565JAD,-6.85316,1563,38,1.22
1565JAD,3971MPI,-0.52095,1680,41,1.66
3971MPI,1566JAD,-1.02256,1072,30,0.68
1566JAD,32U,0.40207,1170,29,0.7
32U,1567JAD,3.59536,1167,28,0.82
1567JAD,3980MPI,8.9253,1348,32,-0.34
3980MPI,1568JAD,15.16439,1267,27,0.2
1568JAD,5111,20.1558,1217,34,1.16
5111,2892W,20.32048,702,26,0.5
2892W,2893W,29.77946,852,36,-1.45
2893W,742A,19.47297,518,24,1.02
742A,1574JAD,15.1893,474,27,0.93
1574JAD,1575JAD,2.12041,829,62,0.17
1575JAD,5110,21.52617,990,37,-0.36
5110,1570JAD,58.54556,1886,79,0.63
1570JAD,1571JAD,-39.96257,1199,48,0.6
1571JAD,5107,-29.6035,1371,43,0.76
5106,1572JAD,-31.08606,1431,44,1.58
1572JAD,2897W,-10.34067,837,18,0.24
2897W,5104,-5.65037,261,9,0.64
5104,2898W,-8.92599,540,16,0.9
2898W,27U,-8.76958,617,19,0.93
743A,2899W,-9.55207,448,18,1.32
2899W,30491,-10.60818,1027,30,0.49
30491,2900W,-4.42842,683,29,1.22
2900W,5102,-1.09638,68,2,0.08
1988b,4874MPI,-3.71394,817,30,0.1
4874MPI,1995b,-0.3692,868,23,0.55
410U,1127TAV,17.72718,289,20,-0.26
1127TAV,629TA,-11.07765,671,33,-0.88
629TA,4758,-4.72959,349,8,0.2
4758,28TA,7.57543,370,12,-0.15
28TA,27TA,-2.64745,210,6,-0.12
27TA,26TA,6.1348,351,11,0.81
26TA,134TA,-7.42966,1509,43,-0.52
134TA,4876MPI,-3.80208,1463,32,0.5
4876MPI,4695MPI,1.44634,864,21,-0.91
4695MPI,3387MPI,-4.4847,252,8,0.44
42F,1602JAD,-16.68096,1282,38,2.88
1602JAD,415A,6.63053,1716,42,-1.43
323TA,1601JAD,-6.1696,1321,35,2.49
1601JAD,1600JAD,-5.94721,922,29,0.68
1600JAD,1198TA,-1.84506,1199,31,0.43
390U,1644JAD,-3.21822,901,27,-1.17
1644JAD,1584JAD,4.19383,526,13,-0.1
1584JAD,1585JAD,9.68195,610,19,1.14
1585JAD,1586JAD,1.86126,1521,42,0.35
1586JAD,4215MPI,23.94503,1580,51,2.26
4215MPI,1587JAD,5.24036,914,36,2.24
1587JAD,770A,-32.46475,1714,58,-2.11
770A,1590JAD,4.84704,870,23,-1.29
1590JAD,1591JAD,-6.74206,1051,27,-1.24
1591JAD,1588JAD,13.11171,1017,31,1.3
1588JAD,1232b,-9.42768,1262,52,0.4
1238b,1589JAD,1.74691,1564,61,-2.52
1589JAD,1578JAD,-21.21501,1411,54,0.36
1578JAD,31KFS,-6.5558,1180,61,2.14
31KFS,1583JAD,26.37439,1339,48,0.74
1583JAD,1582JAD,-12.74323,1173,42,1.76
1582JAD,4113MPI,-6.46846,1386,47,0.04
4113MPI,1581JAD,-13.09636,1414,40,1.2
1581JAD,4114MPI,26.36658,1306,39,1.2
4194MPI,1580JAD,-13.80056,1441,45,-0.76
1580JAD,1579JAD,-14.06162,1564,36,0.73
1579JAD,1577JAD,-2.01496,1365,41,1.57
1577JAD,800U,1.75001,1196,48,1.5
1295U,689A,-4.61184,679,19,-0.04
460U,569AGR,1.7242,760,22,0.36
569AGR,1592JAD,2.77615,1346,29,-0.64
1592JAD,1593JAD,-0.95856,1305,33,0.37
1593JAD,1594JAD,12.08271,1194,26,2.17
1594JAD,461U,-5.85572,695,21,0.54
461U,555AGR,-2.43396,1274,33,1.66
555AGR,4487,11.88461,1141,28,1.26
4487,1595JAD,-8.25646,1067,25,-1.04
1595JAD,1530b,11.0844,1228,28,-1.31
1531b,2018W,-1.10762,838,22,0
2018W,1596JAD,-9.09208,691,22,1.36
1596JAD,1597JAD,-12.37281,1336,40,-0.08
1597JAD,1536b,14.58735,1187,35,1.16
1535b,1598JAD,-7.49024,783,23,0.36
1598JAD,434U,-7.15645,1602,39,0.84
1584JAD,768A,6.79625,1746,40,0.86
389U,1514JAD,-8.77218,1647,64,3.07
1514JAD,4193MPI,8.96474,861,26,0.17
4869,1577JAD,-6.55395,1230,35,0.46
3193,1500JAD,-22.7625,1348,43,-1.15
1500JAD,686U,25.96106,1235,38,0.16
3191,1611JAD,-4.6547,836,20,0.76
1611JAD,1610JAD,-12.31279,879,20,0.66
1610JAD,31901,-2.9694,1665,43,1.46
31901,1609JAD,9.91139,1777,44,-1.58
1609JAD,5677MPI,-23.55568,1517,37,0.03
5677MPI,1606JAD,-8.35254,445,16,-1.78
1606JAD,1208b,-0.5245,1442,31,-1.78
4399MPI,6082MPI,4.42916,195,6,-0.58
6082MPI,3169,3.59977,1706,40,-0.33
3169,1605JAD,-0.71298,890,29,0.28
1605JAD,1604JAD,4.08596,1441,30,-1.59
1604JAD,1603JAD,-0.6864,1078,22,-0.21
1603JAD,1599JAD,-2.51362,1048,22,-0.6
1599JAD,1624b,0.43461,1350,37,-0.28
1624b,1608JAD,1.6339,1079,24,0.26
1608JAD,1607JAD,-3.73135,1574,44,-0.04
1607JAD,1613JAD,1.86021,514,12,0.62
1613JAD,56KFS,5.0432,1458,28,-0.82
56KFS,434U,1.6918,257,6,-0.32
