from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
4637MPI,4U,5.80582,372,12,0.28
3912MPI,704U,9.70434,1050,19,0.22
3U,606A1,-0.00064,21,1,-0.34
4635MPI,606A1,13.54319,1359,33,-2.13
4637MPI,607A1,-21.58846,1348,41,0.52
4638MPI,607A1,2.88161,1673,42,-1.94
4643MPI,608A,-1.21447,154,10,0.52
4635MPI,6154,1.08426,1124,28,1.12
4637MPI,6155,-4.31064,1103,26,1.08
4633MPI,6158,-3.28351,439,9,1.27
4634MPI,6158,-1.0709,1553,29,-2.04
4632MPI,64A,-18.79109,1315,22,-0.11
4065MPI,6U,-105.88006,1465,79,-2.37
4631MPI,7640MPI,-1.14197,20,1,-0.12
4634MPI,7641MPI,-0.36602,175,4,-0.6
4639MPI,4640MPI,-0.79114,1164,28,1.3
4643MPI,4642MPI,-21.12015,1045,39,1.07
4689,3652b,-14.11153,1112,29,1.66
3353MPI,3653b,-1.9214,41,2,0.35
3353MPI,3654b,-0.03977,1375,36,1.01
4650MPI,3662b,-8.62722,1618,34,0.1
4064MPI,3715MPI,-3.10576,1506,30,-0.19
4650MPI,3787,1.79639,127,4,-0.08
4648MPI,3788,10.03077,412,13,-1.02
4645MPI,3790,-11.10584,1577,34,-0.43
4646MPI,3790,2.5092,993,26,0.2
4645MPI,3791,4.2326,1089,23,1.46
4644MPI,4210,11.02804,281,9,1.29
1035,42101,24.83673,773,24,1.11
609A,1035,-1.33867,70,2,-0.02
4648MPI,4647MPI,-12.52382,762,16,0
4649MPI,4648MPI,-4.97499,854,18,1.32
4650MPI,4649MPI,10.7689,1740,36,1.38
3661b,602A,7.46484,166,7,0.45
4064MPI,7U,-0.09208,1537,29,0.25
4644MPI,6U,-26.34892,887,32,1.08
4646MPI,8U,-1.95596,1129,28,2.13
4647MPI,8U,-5.87446,1134,23,0.65
3715MPI,972W,0.67631,1151,31,1.24
1035,972W,-26.70804,1676,46,-1.78
602A,9U,-5.63993,146,6,-0.04
3792MPI,704U,-76.15723,1484,79,1.23
3781MPI,1444K,109.22845,1311,96,1.34
3781MPI,3782MPI,-65.5536,1138,55,-0.14
3949MPI,3783MPI,-82.24296,650,48,0.81
