point,H
786A,54.829
62F,52.701
315A,33.215
25FE,42.628
4847,20.097
6130,108.708
299A,33.99
6132,96.995
4850,64.758
749b,38.98
4837,16.605
4166,264.848
4488,53.243
776A,14.241
1238K,12.966
3418,-290.542
5046,67.899
5047,130.023
4313,114.262
2655b,43.065
3169,32.322
3642b,-389.056
2653b,33.736
4225,36.761
7332b,25.211
4848,25.072
3046,73.313
