point,H [m],sigma 95% [mm]
100L,31.024,1.80
10S,35.605,1.30
11S,35.775,1.46
12S,40.150,1.33
13S,39.134,1.38
14S,30.168,0.91
15S,37.176,0.86
16S,42.807,1.56
17S,44.661,1.57
18S,37.926,1.27
19S,28.498,1.24
1S,36.139,1.99
20S,37.126,1.00
21S,37.716,1.03
22S,35.666,1.46
23S,30.305,0.93
24S,35.233,1.12
25S,37.458,1.25
26S,41.788,1.35
27S,39.669,1.64
28S,35.833,1.08
29S,38.285,1.27
2S,43.336,1.27
300PIK,22.326,1.93
30S,37.619,0.99
31S,34.737,0.99
32S,33.677,0.93
33S,37.892,0.99
34S,37.135,0.76
35S,38.700,0.82
36S,40.854,1.27
37S,39.880,1.04
38S,40.899,1.46
39S,29.636,1.39
3S,46.355,1.18
400,15.979,3.02
401,9.761,3.53
402,10.306,3.02
40S,38.212,1.57
41M,9.391,1.57
42M,26.701,2.12
43M,24.311,1.57
44M,27.642,1.57
45M,26.102,1.46
46M,29.888,2.28
47M,19.906,1.57
48M,14.058,2.47
49M,19.278,1.66
4S,41.246,1.27
50M,31.400,1.99
51M,30.133,1.38
52S,31.322,1.18
53M,29.236,2.20
54M,29.519,2.51
55M,36.748,0.95
56M,35.487,1.57
57M,23.522,2.17
58M,35.501,2.15
59M,35.830,1.46
5S,39.533,1.18
60M,32.779,1.52
61M,37.569,0.93
62L,13.879,2.06
63L,14.926,1.99
64L,13.037,1.78
65L,14.544,1.45
66L,19.954,1.72
67L,16.730,2.36
68L,9.363,1.01
69L,11.118,1.64
6S,35.791,1.16
70L,9.101,4.39
72L,11.544,1.25
73L,19.088,1.45
74L,16.349,1.64
75L,15.142,1.78
76L,16.996,1.78
77L,19.895,1.57
78L,3.445,2.66
79L,3.629,2.29
7S,32.611,1.57
80L,20.014,2.10
81L,18.169,3.47
82L,15.994,2.04
83L,21.098,1.86
84L,25.311,2.41
85L,18.556,1.55
86L,17.189,1.46
87L,17.637,2.12
88L,35.221,2.53
89L,36.097,2.26
8S,25.843,1.64
90L,27.963,2.24
91L,11.204,2.27
92L,33.687,1.64
93L,39.516,2.06
94L,38.495,3.38
95L,40.672,2.30
96L,35.640,1.30
97L,34.662,2.35
98L,35.723,2.47
99L,34.646,2.06
9S,27.534,1.36
