point,H
13S,39.134
23S,30.305
26S,41.788
16S,42.807
4S,41.246
34S,37.135
33S,37.892
20S,37.126
30S,37.619
59M,35.83
22S,35.666
12S,40.15
40S,38.212
31S,34.737
8S,25.843
29S,38.285
