point,H
40F,105.564
326A,260.027
795A,169.307
79U,274.102
5090,130.133
828,272.283
5091,186.287
4984,179.471
4720,149.217
3272,187.379
5094,212.349
5092,222.27
2938W,199.891
338A,276.406
324A,310.465
4266,484.157
42651,423.188
4510,378.417
433A,453.601
