from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
1,2,6.388,1600,12,13.3
2,3,3.474,500,6,7.1
1,4,5.69,800,8,11.6
4,3,4.163,2200,21,8.6
3,5,4.537,1400,11,9.3
2,5,8.005,1200,10,16.2
